class,prediction
0,0.202
0,0.294
0,0.202
0,0.166
0,0.142
0,0.15
0,0.196
0,0.164
0,0.204
0,0.164
0,0.21
0,0.202
0,0.094
0,0.102
0,0.188
0,0.184
0,0.216
0,0.28
0,0.114
0,0.092
0,0.172
0,0.114
0,0.266
0,0.164
0,0.072
0,0.236
0,0.214
0,0.188
0,0.296
0,0.22
0,0.028
0,0.094
0,0.18
0,0.086
0,0.192
0,0.204
0,0.144
0,0.198
0,0.074
0,0.026
0,0.182
0,0.15
0,0.17
0,0.188
0,0.11
0,0.152
0,0.028
0,0.12
0,0.118
0,0.106
0,0.118
0,0.072
0,0.122
0,0.198
0,0.122
0,0.1
0,0.08
0,0.084
0,0.07
0,0.102
0,0.024
0,0.144
0,0.148
0,0.108
0,0.12
0,0.046
0,0.178
0,0.124
0,0.152
0,0.148
0,0.076
0,0.146
0,0.142
0,0.078
0,0.146
0,0.122
0,0.074
0,0.168
0,0.236
0,0.116
0,0.242
0,0.242
0,0.12
0,0.126
0,0.178
0,0.146
0,0.194
0,0.198
0,0.188
0,0.054
0,0.11
0,0.132
0,0.088
0,0.212
0,0.144
0,0.178
0,0.106
0,0.098
0,0.144
0,0.158
0,0.152
0,0.092
0,0.084
0,0.158
0,0.066
0,0.172
1,0.804
1,0.812
1,0.744
1,0.84
1,0.778
1,0.822
1,0.748
1,0.868
1,0.854
1,0.802
1,0.878
1,0.708
1,0.86
1,0.714
1,0.758
1,0.844
1,0.844
1,0.83
1,0.74
1,0.766
1,0.8
1,0.856
1,0.838
1,0.784
1,0.684
1,0.884
1,0.844
1,0.826
1,0.652
1,0.71
1,0.838
1,0.776
1,0.862
1,0.888
1,0.88
1,0.894
1,0.922
1,0.78
1,0.874
1,0.948
1,0.806
1,0.756
1,0.784
1,0.922
1,0.854
1,0.806
1,0.914
1,0.86
1,0.832
1,0.752
1,0.852
1,0.832
1,0.836
1,0.756
1,0.944
1,0.734
1,0.856
1,0.824
1,0.9
1,0.87
1,0.826
1,0.786
1,0.946
1,0.904
1,0.832
1,0.77
1,0.876
1,0.866
1,0.836
1,0.8
1,0.914
1,0.93
1,0.936
1,0.846
1,0.826
1,0.892
1,0.878
1,0.886
1,0.914
1,0.866
1,0.89
1,0.85
1,0.856
1,0.904
1,0.792
1,0.894
1,0.866
1,0.87
1,0.942
1,0.91
1,0.912
1,0.82
1,0.916
1,0.856
1,0.806
