class,prediction
0,0.096
0,0.166
0,0.134
0,0.058
0,0.036
0,0.012
0,0.11
0,0.206
0,0.002
0,0.078
0,0.216
0,0.022
0,0.052
0,0.024
0,0.118
0,0.01
0,0.282
0,0.058
0,0.028
0,0.112
0,0.108
0,0.234
0,0.072
0,0.016
0,0.06
0,0.278
0,0.068
0,0.046
0,0.224
0,0.076
0,0.014
0,0.106
0,0.076
0,0.118
0,0.064
0,0.048
0,0.002
0,0.1
0,0.134
0,0.048
0,0.028
0,0.062
0,0.032
0,0.012
0,0.032
0,0.054
0,0.032
0,0.004
0,0.044
0,0.018
0,0.052
0,0.014
0,0.012
0,0.05
0,0.036
0,0.058
0,0.056
0,0.002
0,0.092
0,0.08
0,0.008
0,0.026
0,0.13
0,0.022
0,0.154
0,0.014
0,0.026
0,0.024
0,0.032
0,0.06
0,0.072
0,0.038
0,0.024
0,0.078
0,0.178
0,0.028
0,0.128
0,0.16
0,0.03
0,0.054
0,0.02
0,0.06
0,0.134
0,0.082
0,0.004
0,0.028
0,0.058
0,0.022
0,0.182
0,0.152
0,0.002
0,0.01
0,0.06
0,0.024
0,0.094
0,0.022
0,0.052
0,0.01
0,0.052
0,0.006
0,0.044
1,0.778
0,0.102
0,0.05
0,0.056
0,0.16
0,0.028
0,0.066
0,0.032
0,0.146
1,0.886
1,0.786
1,0.864
1,0.81
1,0.696
1,0.834
1,0.898
1,0.872
1,0.894
1,0.682
0,0.222
1,0.718
1,0.812
1,0.774
1,0.748
1,0.758
0,0.08
0,0.166
1,0.748
0,0.034
0,0.088
1,0.826
1,0.686
0,0.19
1,0.794
0,0.078
0,0.124
1,0.764
1,0.808
0,0.19
1,0.798
1,0.892
1,0.736
1,0.812
0,0.206
1,0.722
0,0.012
1,0.778
1,0.838
0,0.028
1,0.798
0,0.064
0,0.064
0,0.176
1,0.956
1,0.818
0,0.054
0,0.002
0,0.206
0,0.092
1,0.74
1,0.876
1,0.908
0,0.036
1,0.778
0,0.048
1,0.916
1,0.928
0,0.03
0,0.192
1,0.624
0,0.148
1,0.82
0,0.212
1,0.746
1,0.776
1,0.812
0,0.212
1,0.88
1,0.928
1,0.724
1,0.746
1,0.89
1,0.832
1,0.876
