class,prediction
0,0.046
0,0.03
0,0.064
0,0.028
0,0.052
0,0.026
0,0.022
0,0.072
0,0.022
0,0.04
0,0.074
0,0.054
0,0.156
0,0.014
0,0.046
0,0.018
0,0.134
0,0.12
0,0.074
0,0.104
0,0.144
0,0.114
0,0.086
0,0.038
0,0.054
0,0.16
0,0.092
0,0.058
0,0.096
0,0.156
0,0.11
0,0.136
0,0.124
0,0.11
0,0.092
0,0.174
0,0.04
0,0.128
0,0.084
0,0.076
0,0.072
0,0.016
0,0.046
0,0.072
0,0.08
0,0.112
0,0.05
0,0.024
0,0.062
0,0.03
0,0.05
0,0.022
0,0.036
0,0.01
0,0.102
0,0.044
0,0.092
0,0.022
0,0.054
0,0.14
0,0.048
0,0.062
0,0.08
0,0.054
0,0.15
0,0.104
0,0.04
0,0.022
0,0.04
0,0.11
0,0.076
0,0.088
0,0.072
0,0.092
0,0.024
0,0.054
0,0.064
0,0.118
0,0.08
0,0.094
0,0.042
0,0.06
0,0.074
0,0.074
0,0.018
0,0.092
0,0.08
0,0.062
0,0.054
0,0.148
0,0.036
0,0.07
0,0.08
0,0.098
0,0.118
0,0.048
0,0.092
0,0.068
0,0.026
0,0.018
0,0.062
1,0.728
0,0.06
0,0.048
0,0.056
0,0.142
0,0.066
0,0.064
0,0.03
0,0.062
0,0.06
1,0.684
1,0.728
0,0.152
1,0.712
1,0.862
1,0.806
0,0.142
0,0.172
1,0.816
0,0.084
0,0.134
1,0.668
0,0.094
1,0.7
0,0.136
0,0.096
0,0.052
0,0.09
0,0.016
0,0.076
0,0.14
0,0.174
0,0.042
1,0.772
1,0.814
0,0.066
0,0.092
1,0.738
1,0.696
0,0.108
1,0.67
1,0.834
1,0.766
1,0.724
0,0.148
0,0.1
0,0.06
1,0.674
0,0.12
1,0.712
0,0.054
0,0.08
0,0.112
0,0.114
0,0.088
1,0.746
1,0.734
0,0.054
0,0.024
0,0.118
1,0.716
0,0.096
0,0.088
1,0.75
1,0.728
1,0.748
0,0.018
1,0.782
0,0.094
1,0.826
0,0.104
0,0.036
0,0.128
1,0.63
0,0.052
1,0.744
0,0.074
1,0.728
0,0.114
1,0.74
0,0.09
1,0.76
1,0.75
1,0.772
1,0.68
1,0.782
1,0.74
1,0.76
